domain,name,path,expires_utc,is_secure,is_httponly,creation_utc,expires_date,creation_date
www.channelnewsasia.com,isVisited,/,0,False,False,1.34161519618042E+016,Never,2026-02-21 20:52:41
www.channelnewsasia.com,subscription-cta-one-week,/,1.3416756761E+016,False,False,1.34161519618041E+016,2026-02-28 20:52:41,2026-02-21 20:52:41
.mediacorp.sg,visid_incap_2835602,/,1.34317039590401E+016,True,True,1.34161519590401E+016,2026-08-20 20:52:39,2026-02-21 20:52:39
www.channelnewsasia.com,incap_ses_1572_1015034,/,0,False,False,1.34161520911503E+016,Never,2026-02-21 20:54:51
www.channelnewsasia.com,nlbi_1015034_2147483392,/,0,False,True,1.34161520734763E+016,Never,2026-02-21 20:54:33
.amazon.sg,ubid-acbsg,/,1.34317041185901E+016,True,False,1.34161521185901E+016,2026-08-20 20:55:18,2026-02-21 20:55:18
.amazon.sg,lc-acbsg,/,1.34317041765823E+016,True,False,1.34161507867227E+016,2026-08-20 20:56:16,2026-02-21 20:33:06
.amazon.sg,session-id,/,1.34317041765824E+016,True,False,1.3416152116295E+016,2026-08-20 20:56:16,2026-02-21 20:55:16
.amazon.sg,session-id-time,/,1.34317041765825E+016,True,False,1.34161507867226E+016,2026-08-20 20:56:16,2026-02-21 20:33:06
upload.x.com,lang,/,0,False,False,1.34161527374582E+016,Never,2026-02-21 21:05:37
.google.com,__Secure-ENID,/,1.34317073518784E+016,True,True,1.34161553518784E+016,2026-08-20 21:49:11,2026-02-21 21:49:11
.youtube.com,GPS,/,1.34161571780889E+016,True,True,1.34161553780889E+016,2026-02-21 22:19:38,2026-02-21 21:49:38
.youtube.com,SOCS,/,1.34317073778897E+016,True,False,1.34161553773899E+016,2026-08-20 21:49:37,2026-02-21 21:49:37
.youtube.com,__Secure-YENID,/,1.34317073766422E+016,True,True,1.34161553766422E+016,2026-08-20 21:49:36,2026-02-21 21:49:36
.youtube.com,VISITOR_INFO1_LIVE,/,1.3431707386588E+016,True,True,1.34161553777396E+016,2026-08-20 21:49:46,2026-02-21 21:49:37
.youtube.com,VISITOR_PRIVACY_METADATA,/,1.34317073865882E+016,True,True,1.34161553777396E+016,2026-08-20 21:49:46,2026-02-21 21:49:37
.youtube.com,YSC,/,0,True,True,1.34161553738758E+016,Never,2026-02-21 21:49:33
.youtube.com,__Secure-ROLLOUT_TOKEN,/,1.3431707378089E+016,True,True,1.3416155378089E+016,2026-08-20 21:49:38,2026-02-21 21:49:38
.youtube.com,PREF,/,1.34317074137478E+016,True,False,1.34161554137478E+016,2026-08-20 21:50:13,2026-02-21 21:50:13
.youtube.com,CONSISTENCY,/,1.3416156558E+016,True,False,1.3416155958357E+016,2026-02-21 22:09:18,2026-02-21 21:59:18
.microsoft.com,MS0,/,1.34161577643036E+016,True,False,1.34161559643036E+016,2026-02-21 22:29:24,2026-02-21 21:59:24
.grok.com,__cf_bm,/,1.34161577814434E+016,True,True,1.34161559814434E+016,2026-02-21 22:29:41,2026-02-21 21:59:41
.channelnewsasia.com,AMCV_B464317853A9C8390A490D4E%40AdobeOrg,/,1.34317080602869E+016,False,False,1.3416156060287E+016,2026-08-20 22:01:00,2026-02-21 22:01:00
.grokipedia.com,__cf_bm,/,1.3416157840701E+016,True,True,1.3416156040701E+016,2026-02-21 22:30:40,2026-02-21 22:00:40
.grokusercontent.com,__cf_bm,/,1.34161578421316E+016,True,True,1.34161560421316E+016,2026-02-21 22:30:42,2026-02-21 22:00:42
.x.ai,__cf_bm,/,1.34161578394263E+016,True,True,1.34161560394263E+016,2026-02-21 22:30:39,2026-02-21 22:00:39
www.msn.com,ai_session,/,1.3416157843E+016,True,False,1.34161560435036E+016,2026-02-21 22:30:43,2026-02-21 22:00:43
.channelnewsasia.com,fastStartRead,/,0,False,False,1.3416156063895E+016,Never,2026-02-21 22:01:03
grok.com,i18nextLng,/,1.3431708044891E+016,False,False,1.34161499441927E+016,2026-08-20 22:00:44,2026-02-21 20:19:04
.mediacorp.sg,incap_ses_1688_2835602,/,0,True,False,1.34161560583034E+016,Never,2026-02-21 22:00:58
www.channelnewsasia.com,incap_ses_63_1015034,/,0,False,False,1.34161560588379E+016,Never,2026-02-21 22:00:58
.amazon.sg,session-token,/,1.34317080519766E+016,True,False,1.34161560519766E+016,2026-08-20 22:00:51,2026-02-21 22:00:51
.grok.com,x-anonuserid,/,0,True,False,1.34161560460542E+016,Never,2026-02-21 22:00:46
.grok.com,x-challenge,/,0,True,False,1.34161560460542E+016,Never,2026-02-21 22:00:46
.grok.com,x-signature,/,0,True,False,1.34161560460542E+016,Never,2026-02-21 22:00:46
.grok.com,x-userid,/,0,True,False,1.34161500040523E+016,Never,2026-02-21 20:20:04
